     Depth,PVelocity,SVelocity
16.74,6410.26,3731.34
16.79,6410.26,3731.34
16.84,6410.26,3731.34
16.89,6410.26,3731.34
16.94,6410.26,3731.34
16.99,6410.26,3731.34
17.04,6410.26,3731.34
17.09,6578.95,3731.34
17.14,6410.26,3731.34
17.19,6410.26,3676.47
17.24,6410.26,3676.47
17.29,6097.56,3623.19
17.34,6250,3571.43
17.39,6250,3521.13
17.44,6097.56,3521.13
17.49,6410.26,3521.13
17.54,6250,3521.13
17.59,6097.56,3521.13
17.64,5681.82,3521.13
17.69,6410.26,3571.43
17.74,6756.76,3623.19
17.79,6756.76,3676.47
17.84,6578.95,3676.47
17.89,6250,3731.34
17.94,6250,3731.34
17.99,6410.26,3731.34
18.04,6578.95,3787.88
18.09,6097.56,3787.88
18.14,6410.26,3787.88
18.19,6097.56,3731.34
18.24,6410.26,3731.34
18.29,6410.26,3731.34
18.34,6578.95,3731.34
18.39,6578.95,3731.34
18.44,6756.76,3731.34
18.49,6578.95,3676.47
18.54,6578.95,3676.47
18.59,6578.95,3676.47
18.64,6578.95,3676.47
18.69,6578.95,3676.47
18.74,6410.26,3676.47
18.79,6578.95,3676.47
18.84,6578.95,3676.47
18.89,6410.26,3731.34
18.94,6756.76,3731.34
18.99,6944.44,3731.34
19.04,6756.76,3731.34
19.09,6756.76,3731.34
19.14,6410.26,3731.34
19.19,6756.76,3731.34
19.24,6944.44,3731.34
19.29,6410.26,3731.34
19.34,6578.95,3731.34
19.39,6578.95,3731.34
19.44,6410.26,3731.34
19.49,6410.26,3731.34
19.54,6756.76,3731.34
19.59,6250,3731.34
19.64,6578.95,3731.34
19.69,6578.95,3787.88
19.74,6410.26,3731.34
19.79,6250,3731.34
19.84,6097.56,3731.34
19.89,6410.26,3676.47
19.94,6250,3676.47
19.99,5952.38,3623.19
20.04,5952.38,3623.19
20.09,6410.26,3676.47
20.14,6410.26,3623.19
20.19,6578.95,3623.19
20.24,6756.76,3571.43
20.29,6410.26,3571.43
20.34,6756.76,3571.43
20.39,6756.76,3571.43
20.44,6097.56,3521.13
20.49,5952.38,3521.13
20.54,6097.56,3521.13
20.59,5813.95,3472.22
20.64,5952.38,3472.22
20.69,5952.38,3472.22
20.74,6250,3472.22
20.79,6410.26,3424.66
20.84,6097.56,3378.38
20.89,6097.56,3333.33
20.94,6097.56,3424.66
20.99,5813.95,3472.22
21.04,6250,3731.34
21.09,5952.38,3787.88
21.14,5952.38,3787.88
21.19,5813.95,3787.88
21.24,5681.82,3787.88
21.29,5952.38,3787.88
21.34,5585.59,3787.88
21.39,5555.56,3787.88
21.44,5813.95,3731.34
21.49,5681.82,3731.34
21.54,6097.56,3731.34
21.59,6097.56,3731.34
21.64,6097.56,3731.34
21.69,6250,3731.34
21.74,5813.95,3731.34
21.79,6756.76,3731.34
21.84,6410.26,3731.34
21.89,5813.95,3731.34
21.94,6578.95,3731.34
21.99,6250,3787.88
22.04,6410.26,3787.88
22.09,6666.67,3787.88
22.14,6756.76,3846.15
22.19,7575.76,3846.15
22.24,6944.44,3846.15
22.29,6578.95,3846.15
22.34,7142.86,3846.15
22.39,6756.76,3846.15
22.44,6578.95,3846.15
22.49,6756.76,3846.15
22.54,6578.95,3846.15
22.59,6578.95,3846.15
22.64,6756.76,3846.15
22.69,6944.44,3787.88
22.74,6756.76,3787.88
22.79,6756.76,3787.88
22.84,6756.76,3846.15
22.89,6756.76,3846.15
22.94,6666.67,3846.15
22.99,6666.67,3846.15
23.04,6756.76,3846.15
23.09,6410.26,3846.15
23.14,6578.95,3846.15
23.19,6578.95,3846.15
23.24,6756.76,3846.15
23.29,6578.95,3846.15
23.34,7142.86,3846.15
23.39,6756.76,3846.15
23.44,6944.44,3846.15
23.49,6410.26,3846.15
23.54,6944.44,3846.15
23.59,6578.95,3787.88
23.64,6944.44,3787.88
23.69,6756.76,3731.34
23.74,6756.76,3731.34
23.79,6944.44,3731.34
23.84,6410.26,3731.34
23.89,6578.95,3731.34
23.94,6578.95,3731.34
23.99,6410.26,3731.34
24.04,6578.95,3731.34
24.09,6410.26,3731.34
24.14,6578.95,3787.88
24.19,6578.95,3787.88
24.24,6578.95,3787.88
24.29,6578.95,3787.88
24.34,6756.76,3787.88
24.39,6944.44,3846.15
24.44,6578.95,3846.15
24.49,6410.26,3846.15
24.54,6756.76,3846.15
24.59,6578.95,3846.15
24.64,6756.76,3846.15
24.69,6578.95,3846.15
24.74,6578.95,3846.15
24.79,6410.26,3846.15
24.84,6410.26,3787.88
24.89,6756.76,3846.15
24.94,6250,3846.15
24.99,6410.26,3846.15
25.04,6756.76,3846.15
25.09,6578.95,3846.15
25.14,6944.44,3846.15
25.19,6578.95,3787.88
25.24,6410.26,3787.88
25.29,6578.95,3787.88
25.34,6410.26,3787.88
25.39,6410.26,3731.34
25.44,6410.26,3731.34
25.49,6250,3676.47
25.54,6410.26,3676.47
25.59,5952.38,3676.47
25.64,6250,3623.19
25.69,6250,3623.19
25.74,6262.63,3571.43
25.79,6250,3521.13
25.84,6250,3521.13
25.89,6410.26,3472.22
25.94,5952.38,3424.66
25.99,6097.56,3424.66
26.04,6250,3378.38
26.09,6250,3424.66
26.14,6097.56,3472.22
26.19,5952.38,3472.22
26.24,6097.56,3521.13
26.29,6097.56,3521.13
26.34,6250,3571.43
26.39,5952.38,3571.43
26.44,6410.26,3623.19
26.49,6578.95,3676.47
26.54,6578.95,3676.47
26.59,5952.38,3676.47
26.64,6410.26,3623.19
26.69,6250,3623.19
26.74,6097.56,3623.19
26.79,6410.26,3623.19
26.84,6097.56,3623.19
26.89,6756.76,3623.19
26.94,6410.26,3676.47
26.99,6410.26,3676.47
27.04,6410.26,3676.47
27.09,6250,3676.47
27.14,6410.26,3731.34
27.19,6944.44,3731.34
27.24,6666.67,3731.34
27.29,6944.44,3787.88
27.34,6944.44,3787.88
27.39,6578.95,3787.88
