index,depth,mean_SN_ratio,Fracture_Type,azimuth,dip
166,23.4,0.14197522862684797,2,36.8,36.25
554,46.61,0.1419260553364513,2,35.09,36.03
819,61.23,0.14168597695428975,2,30.33,35.53
333,37.41,0.1412549134361948,2,44.75,37.47
46,13.2,0.1409888269263532,1,85.55,80.54
9,7.83,0.13700006210217205,2,205.98,67.58
829,62.33,0.13520846968739897,2,211.96,77.14
889,66.03,0.1347482553152125,2,62.76,42.13
978,70.15,0.1346521267334265,2,197.25,66.85
27,9.76,0.13110950344462619,2,120.89,19.39
979,70.19,0.1298436500093573,2,86.11,69.92
169,23.8,0.12974005155229862,2,313.02,72.27
463,42.78,0.12963170321742815,2,273.17,75.86
906,67.49,0.12958853360233105,2,35.57,34.08
664,51.39,0.12956203161234087,2,79.17,53.61
412,40.56,0.12782109552212187,2,47.96,35.81
759,55.34,0.1260162382925471,2,201.35,67.82
392,39.49,0.12548397466261593,2,279.42,63.82
347,37.88,0.12120670145748787,2,277.76,69.65
106,19.75,0.12079360849428074,2,247.64,4.34
146,21.64,0.1189559584999533,2,17.56,31.61
457,42.52,0.11878410059900524,2,89.89,82.21
451,42.33,0.11740967018335702,2,53.52,35.29
213,31.28,0.1172481839484123,2,89.95,79.39
905,67.44,0.1161799031263901,2,58.8,36.63
22,9.09,0.11551938289893712,2,59.98,36.9
373,38.88,0.11465868130895084,2,90.38,78.5
26,9.66,0.11398310079032381,no data,207.51,73.05
661,51.28,0.11382778195924931,2,111.11,47.68
1018,71.69,0.11228198813864132,2,66.26,38.7
77,15.89,0.11197237310280829,2,90.76,76.55
453,42.38,0.10922370439744114,2,107.79,35.35
421,40.9,0.10852390767062538,2,309.81,63.35
150,22.09,0.10824280363528524,2,42.76,31.54
214,31.35,0.10748636482203897,2,91.44,73.29
864,64.91,0.10468371683684921,2,19.38,29.44
957,69.42,0.10386897099937795,2,313.89,50.46
749,54.33,0.1038524050163848,2,111.19,56.99
136,21.31,0.10383743075349942,2,308.22,64.75
271,34.47,0.10354086005984725,2,105.69,37.06
152,22.36,0.10241751706161291,2,89.02,55.41
133,21.23,0.10233067976778001,2,307.41,67.72
635,50.19,0.10232114441004672,2,92.34,69.76
401,39.91,0.10145480768476377,2,105.35,41.73
827,61.96,0.10038043898749521,2,197.15,72.22
659,51.23,0.09937733263331569,2,108.35,54.44
202,30.14,0.09902086563259159,2,24.85,28.66
673,51.93,0.09863774921559987,2,108.51,55.4
730,53.62,0.09861210745297612,2,86.03,48.19
292,35.46,0.09826009943999932,2,53.43,31.74
718,53.09,0.09590959916034321,2,277.69,81.13
961,69.52,0.09549889360262794,2,312.51,47.27
619,49.68,0.09521321542187192,2,91.16,53.3
163,23.1,0.09491384666527947,2,105.14,51.86
622,49.78,0.09481709377956107,2,105.39,52.53
388,39.41,0.09422053005002809,1,285.92,67.06
671,51.71,0.09414354549957661,2,105.39,53.28
795,59.78,0.09372448239300657,2,112.85,65.92
629,49.94,0.09364398676228182,2,102.85,47.51
149,22.09,0.09249602973994459,2,304.61,67.5
721,53.19,0.09246016410890308,2,94.91,79.88
631,50.1,0.09201390934101508,2,93.91,55.92
628,49.89,0.0920044871242118,2,88.44,46.7
300,35.79,0.09163450558709574,2,100.41,37.11
400,39.83,0.09138142095701815,2,43.71,28.89
1037,73.09,0.09106634078817923,2,47.83,29.42
397,39.72,0.09098730609629853,2,59.46,31.77
546,46.15,0.09097313114875555,2,92.88,51.44
678,52.15,0.09082041935087848,2,106.94,58.88
176,24.87,0.09076966036179776,2,95.44,69.34
670,51.63,0.09029703746137406,2,102.2,52.02
627,49.89,0.08896651616297623,2,99.29,47.73
754,54.8,0.08874543701844617,2,98.94,47.08
641,50.31,0.08857879377914905,2,93.72,48.91
803,60.41,0.08849627163977078,2,64.0,32.49
524,44.95,0.08832388345076568,2,98.4,46.89
672,51.76,0.08811529068718417,2,105.96,59.71
522,44.87,0.08743429461531634,2,97.73,56.56
655,50.96,0.08740897263377405,2,97.9,39.2
