     Depth,PVelocity,SVelocity
25.52,6966.15,3424.66
25.62,6806.62,3378.38
25.72,6806.62,3472.22
25.82,6806.62,3571.43
25.92,6604.94,3623.19
26.02,6604.94,3623.19
26.12,6604.94,3623.19
26.22,6461.35,3571.43
26.32,6461.35,3521.13
26.42,6461.35,3472.22
26.52,6461.35,3472.22
26.62,6461.35,3472.22
26.72,6461.35,3521.13
26.82,6604.94,3521.13
26.92,6604.94,3571.43
27.02,6806.62,3571.43
27.12,6966.15,3623.19
27.22,6966.15,3623.19
27.32,6966.15,3623.19
27.42,7133.33,3623.19
27.52,7133.33,3623.19
27.62,7133.33,3623.19
27.72,7133.33,3676.47
27.82,7133.33,3676.47
27.92,7133.33,3676.47
28.02,6966.15,3676.47
28.12,6966.15,3676.47
28.22,6966.15,3676.47
28.32,6966.15,3623.19
28.42,6966.15,3623.19
28.52,6966.15,3571.43
28.62,6966.15,3623.19
28.72,6966.15,3676.47
28.82,6966.15,3676.47
28.92,6966.15,3676.47
29.02,6806.62,3676.47
29.12,6806.62,3676.47
29.22,6806.62,3676.47
29.32,6806.62,3676.47
29.42,6806.62,3676.47
29.52,6604.94,3623.19
29.62,6323.88,3623.19
29.72,6323.88,3571.43
29.82,6192.13,3521.13
29.92,6192.13,3424.66
30.02,6323.88,3378.38
30.12,6323.88,3333.33
30.22,6323.88,3289.47
30.32,6461.35,3378.38
30.42,6461.35,3424.66
30.52,6461.35,3472.22
30.62,6461.35,3521.13
30.72,6461.35,3521.13
30.82,6323.88,3521.13
30.92,6323.88,3472.22
31.02,6323.88,3424.66
31.12,6323.88,3378.38
31.22,6323.88,3424.66
31.32,6323.88,3424.66
31.42,6323.88,3424.66
31.52,6323.88,3472.22
31.62,6323.88,3472.22
31.72,6323.88,3472.22
31.82,6323.88,3521.13
31.92,6323.88,3472.22
32.02,6323.88,3472.22
32.12,6323.88,3521.13
32.22,6323.88,3521.13
32.32,6192.13,3472.22
32.42,6192.13,3424.66
32.52,6192.13,3424.66
32.62,6192.13,3424.66
32.72,6192.13,3424.66
32.82,6192.13,3378.38
32.92,6192.13,3424.66
33.02,6192.13,3424.66
33.12,6192.13,3472.22
33.22,6192.13,3424.66
33.32,6192.13,3424.66
33.42,6192.13,3333.33
33.52,6192.13,3289.47
33.62,6192.13,3333.33
33.72,6192.13,3333.33
33.82,6192.13,3333.33
33.92,6192.13,3333.33
34.02,6192.13,3333.33
34.12,6192.13,3289.47
34.22,6192.13,3289.47
34.32,6192.13,3289.47
34.42,6192.13,3333.33
34.52,6192.13,3378.38
34.62,6192.13,3424.66
34.72,6192.13,3521.13
34.82,6192.13,3571.43
34.92,6192.13,3676.47
35.02,6461.35,3676.47
35.12,6461.35,3731.34
35.22,6461.35,3731.34
35.32,6461.35,3676.47
35.42,6461.35,3521.13
35.52,6461.35,3424.66
35.62,6604.94,3424.66
35.72,6604.94,3424.66
35.82,6604.94,3571.43
35.92,6604.94,3731.34
36.02,6604.94,3787.88
36.12,6604.94,3787.88
36.22,6604.94,3787.88
36.32,6604.94,3787.88
36.42,6806.62,3731.34
36.52,6806.62,3731.34
36.62,6806.62,3787.88
36.72,6966.15,3787.88
36.82,7133.33,3787.88
36.92,7133.33,3787.88
37.02,6966.15,3787.88
37.12,6966.15,3787.88
37.22,7133.33,3787.88
37.32,7133.33,3731.34
37.42,7133.33,3676.47
37.52,7133.33,3623.19
37.62,7133.33,3571.43
37.72,6966.15,3521.13
37.82,6966.15,3521.13
37.92,6966.15,3521.13
38.02,6966.15,3571.43
38.12,6966.15,3571.43
38.22,6966.15,3571.43
38.32,6966.15,3623.19
38.42,6806.62,3623.19
38.52,6806.62,3623.19
38.62,6604.94,3571.43
38.72,6604.94,3571.43
38.82,6604.94,3571.43
38.92,6806.62,3623.19
39.02,6806.62,3676.47
39.12,6806.62,3676.47
39.22,6966.15,3787.88
39.32,6966.15,3787.88
39.42,6966.15,3787.88
39.52,6966.15,3787.88
39.62,6966.15,3787.88
39.72,6966.15,3787.88
39.82,6966.15,3731.34
39.92,6966.15,3676.47
40.02,6966.15,3676.47
40.12,6966.15,3623.19
40.22,6966.15,3571.43
40.32,6966.15,3571.43
40.42,6966.15,3472.22
40.52,6966.15,3472.22
40.62,6966.15,3472.22
40.72,6966.15,3472.22
40.82,6966.15,3521.13
40.92,6966.15,3521.13
41.02,6966.15,3571.43
41.12,6966.15,3623.19
41.22,6966.15,3676.47
41.32,6966.15,3676.47
41.42,6966.15,3571.43
41.52,6966.15,3472.22
41.62,6966.15,3424.66
