Depth,Temperature,FCond,  Depth ft
9.736,22.5618,794.387,31.9431
9.786,22.5426,794.565,32.1071
9.836,22.5682,792.821,32.2711
9.886,22.5809,796.14,32.4352
9.936,22.5809,795.53,32.5992
9.986,22.5884,793.697,32.7633
10.036,22.6192,796.886,32.9273
10.086,22.6001,795.89,33.0914
10.136,22.6288,794.136,33.2554
10.186,22.6086,796.711,33.4195
10.236,22.6192,794.856,33.5835
10.286,22.6288,796.416,33.7475
10.336,22.6192,797.268,33.9116
10.386,22.649,794.577,34.0756
10.436,22.6086,797.181,34.2397
10.486,22.6384,795.41,34.4037
10.536,22.6384,796.861,34.5677
10.586,22.6384,796.861,34.7318
10.636,22.6288,797.124,34.8958
10.686,22.6384,795.6,35.0599
10.736,22.6086,797.388,35.2239
10.786,22.6575,796.242,35.388
10.836,22.649,797.571,35.552
10.886,22.6575,798.298,35.716
10.936,22.6693,795.199,35.8801
10.986,22.6959,797.932,36.0441
11.036,22.7097,796.879,36.2082
11.086,22.6959,794.699,36.3722
11.136,22.7097,796.879,36.5363
11.186,22.715,794.699,36.7003
11.236,22.715,796.27,36.8643
11.286,22.715,796.534,37.0284
11.336,22.715,796.798,37.1924
11.386,22.7501,794.428,37.3565
11.436,22.7342,797.311,37.5205
11.486,22.7299,796.981,37.6845
11.536,22.7533,795.446,37.8486
11.586,22.7725,796.901,38.0126
11.636,22.7501,796.82,38.1767
11.686,22.8108,795.082,38.3407
11.736,22.7906,795.867,38.5047
11.786,22.7906,794.634,38.6688
11.836,22.8108,797.142,38.8328
11.886,22.8108,795.867,38.9969
11.936,22.83,793.716,39.1609
11.986,22.83,795.787,39.325
12.036,22.83,795.523,39.489
12.086,22.8491,793.68,39.653
12.136,22.8491,795.708,39.8171
12.186,22.8683,795.972,39.9811
12.236,22.8491,795.628,40.1452
12.286,22.8874,793.6,40.3092
12.336,22.8715,795.814,40.4732
12.386,22.8874,796.526,40.6373
12.436,22.8917,793.44,40.8013
12.486,22.9066,796.164,40.9654
12.536,22.9119,795.47,41.1294
12.586,22.9066,793.573,41.2935
12.636,22.9449,795.47,41.4575
12.686,22.9119,794.785,41.6216
12.736,22.964,793.851,41.7856
12.786,22.964,794.706,41.9496
12.836,22.9449,794.706,42.1137
12.886,22.9832,792.94,42.2777
12.936,22.9832,794.893,42.4418
12.986,23.0215,794.893,42.6058
13.036,23.0024,794.209,42.7698
13.086,23.0215,792.704,42.9339
13.136,23.0332,794.737,43.0979
13.186,23.0215,795.588,43.262
13.236,23.0534,792.626,43.426
13.286,23.0598,795.507,43.59
13.336,23.0534,794.583,43.7541
13.386,23.0598,792.995,43.9181
13.436,23.079,794.583,44.0822
13.486,23.0939,794.506,44.2462
13.536,23.0838,792.554,44.4103
13.586,23.1141,794.183,44.5743
13.636,23.1173,795.545,44.7383
13.686,23.1365,792.767,44.9024
13.736,23.1365,795.073,45.0664
13.786,23.1365,795.871,45.2305
13.836,23.1343,796.137,45.3945
13.886,23.1545,794.625,45.5586
13.936,23.1365,796.791,45.7226
13.986,23.1556,794.278,45.8866
14.036,23.1545,796.328,46.0507
14.086,23.1556,797.073,46.2147
14.136,23.1748,794.202,46.3788
