Depth,Temperature,FCond
12.98,23.3092,594.449
13.03,23.3276,593.042
13.08,23.3276,592.293
13.13,23.3432,592.672
13.18,23.3432,592.681
13.23,23.346,592.947
13.28,23.346,593.951
13.33,23.346,592.936
13.38,23.3625,593.063
13.43,23.3644,593.224
13.48,23.366,592.946
13.53,23.3828,593.542
13.58,23.4011,592.324
13.63,23.4011,592.334
13.68,23.3828,593.476
13.73,23.3828,593.084
13.78,23.4011,593.846
13.83,23.4204,593.73
13.88,23.4379,593.793
13.93,23.4397,594.263
13.98,23.4563,593.806
14.03,23.4538,593.384
14.08,23.4713,592.989
14.13,23.4888,594.094
14.18,23.4783,592.769
14.23,23.5114,593.163
14.28,23.5064,593.93
14.33,23.5114,592.538
14.38,23.5137,592.53
14.43,23.523,592.452
14.48,23.493,592.792
14.53,23.5298,593.662
14.58,23.5169,594.582
14.63,23.5114,593.991
14.68,23.5481,593.165
14.73,23.5555,592.809
14.78,23.5481,593.081
14.83,23.5849,593.063
14.88,23.5481,594.11
14.93,23.5665,593.828
14.98,23.5665,593.458
15.03,23.5849,594.225
15.08,23.5849,595.007
15.13,23.6033,593.599
15.18,23.6217,593.357
15.23,23.6217,593.371
15.28,23.6327,594.779
15.33,23.652,593.942
15.38,23.64,593.688
15.43,23.6584,593.768
15.48,23.6584,593.143
15.53,23.6768,593.143
15.58,23.6768,594.053
15.63,23.6584,593.541
15.68,23.6768,593.143
15.73,23.6993,593.157
15.78,23.6768,593.651
15.83,23.6768,593.285
15.88,23.6952,593.285
15.93,23.6768,594.452
15.98,23.6768,594.309
16.03,23.6906,593.669
16.08,23.7099,594.256
16.13,23.7135,594.272
16.18,23.7319,593.57
16.23,23.7099,594.611
16.28,23.7319,594.002
16.33,23.7319,593.585
16.38,23.7503,594.226
16.43,23.7687,594.113
16.48,23.7503,595.415
16.53,23.7687,593.856
16.58,23.7871,593.487
16.63,23.8054,593.502
16.68,23.8054,595.061
16.73,23.8064,594.417
16.78,23.8054,594.894
16.83,23.8256,594.417
16.88,23.8422,594.371
16.93,23.8606,593.935
16.98,23.8642,594.595
17.03,23.8606,594
17.08,23.8748,593.438
17.13,23.8973,592.943
17.18,23.8606,593.985
17.23,23.8789,593.438
17.28,23.8789,593.583
17.33,23.8973,593.711
17.38,23.8973,594.629
17.43,23.8789,593.214
17.48,23.9028,593.197
17.53,23.8973,593.495
17.58,23.9028,593.342
17.63,23.9157,593.9
17.68,23.8973,594.647
17.73,23.9221,593.728
17.78,23.9098,593.513
17.83,23.9221,593.465
17.88,23.9341,594.324
17.93,23.9525,595.311
17.98,23.9525,594.166
18.03,23.9708,593.651
