Depth,Temperature,FCond,  Depth ft
9.562,22.04,525.327,31.373
9.612,22.0222,526.913,31.5371
9.662,22.0424,526.044,31.7011
9.712,22.0222,527.118,31.8652
9.762,22.04,526.642,32.0292
9.812,22.0424,526.786,32.1932
9.862,22.0424,527.84,32.3573
9.912,22.0424,526.877,32.5213
9.962,22.0615,528.201,32.6854
10.012,22.0424,527.418,32.8494
10.062,22.0626,528.443,33.0134
10.112,22.0626,526.993,33.1775
10.162,22.0626,528.318,33.3415
10.212,22.0829,527.354,33.5056
10.262,22.1031,527.541,33.6696
10.312,22.0829,528.553,33.8336
10.362,22.1031,528.307,33.9977
10.412,22.1031,529.037,34.1617
10.462,22.1043,528.553,34.3258
10.512,22.1233,529.073,34.4898
10.562,22.1233,530.006,34.6539
10.612,22.1435,528.429,34.8179
10.662,22.1233,529.883,34.9819
10.712,22.1435,529.156,35.146
10.762,22.1435,530.004,35.31
10.812,22.1637,529.032,35.4741
10.862,22.1471,529.759,35.6381
10.912,22.184,529.067,35.8022
10.962,22.1435,529.757,35.9662
11.012,22.1685,529.639,36.1302
11.062,22.184,529.708,36.2943
11.112,22.1471,530.733,36.4583
11.162,22.184,530.872,36.6224
11.212,22.1685,531.712,36.7864
11.262,22.184,531.389,36.9504
11.312,22.2042,531.1,37.1145
11.362,22.184,531.712,37.2785
11.412,22.2244,530.977,37.4426
11.462,22.2042,531.589,37.6066
11.512,22.2244,530.854,37.7707
11.562,22.2244,531.466,37.9347
11.612,22.2446,530.486,38.0987
11.662,22.2327,531.098,38.2628
11.712,22.2648,530.479,38.4268
11.762,22.2541,531.097,38.5909
11.812,22.2446,530.349,38.7549
11.862,22.2648,530.486,38.9189
11.912,22.2541,531.711,39.083
11.962,22.2648,531.126,39.247
12.012,22.2446,531.957,39.4111
12.062,22.2851,531.22,39.5751
12.112,22.2446,531.588,39.7392
12.162,22.2851,531.098,39.9032
12.212,22.2648,531.588,40.0672
12.262,22.2851,530.852,40.2313
12.312,22.2744,531.343,40.3953
12.362,22.297,530.028,40.5594
12.412,22.2744,531.386,40.7234
12.462,22.3184,530.144,40.8875
12.512,22.297,531.127,41.0515
12.562,22.2851,530.477,41.2155
12.612,22.3053,530.362,41.3796
12.662,22.3255,530.852,41.5436
12.712,22.3255,530.24,41.7077
12.762,22.3184,531.344,41.8717
12.812,22.3457,530.867,42.0357
12.862,22.3457,531.221,42.1998
12.912,22.3457,530.24,42.3638
12.962,22.3457,531.344,42.5279
13.012,22.3659,530.24,42.6919
13.062,22.3659,530.976,42.856
13.112,22.3862,529.873,43.02
13.162,22.3826,530.609,43.184
13.212,22.3862,529.96,43.3481
13.262,22.4064,529.751,43.5121
13.312,22.3862,530.61,43.6762
13.362,22.4254,530.119,43.8402
13.412,22.3862,529.443,44.0043
13.462,22.4266,530.364,44.1683
13.512,22.4064,530.857,44.3323
13.562,22.4266,530.242,44.4964
13.612,22.4266,530.857,44.6604
13.662,22.4468,529.875,44.8245
13.712,22.4266,530.736,44.9885
13.762,22.4468,529.753,45.1525
13.812,22.4468,530.613,45.3166
13.862,22.4468,529.574,45.4806
13.912,22.467,529.387,45.6447
13.962,22.4468,530.246,45.8087
14.012,22.467,529.833,45.9728
14.062,22.4468,530.246,46.1368
14.112,22.4682,529.387,46.3008
14.162,22.4873,529.575,46.4649
14.212,22.467,530.125,46.6289
14.262,22.4873,529.51,46.793
14.312,22.467,530.371,46.957
14.362,22.5075,529.51,47.121
14.412,22.4873,530.127,47.2851
14.462,22.5277,529.512,47.4491
14.512,22.5075,530.129,47.6132
14.562,22.5479,529.146,47.7772
14.612,22.5325,529.886,47.9413
14.662,22.5479,529.192,48.1053
14.712,22.5479,529.886,48.2693
14.762,22.5682,528.783,48.4334
14.812,22.5539,529.888,48.5974
14.862,22.5682,529.064,48.7615
14.912,22.5884,528.662,48.9255
14.962,22.5682,529.523,49.0896
15.012,22.6086,528.907,49.2536
15.062,22.5884,529.403,49.4176
15.112,22.5884,528.665,49.5817
15.162,22.5967,529.645,49.7457
15.212,22.6086,528.68,49.9098
15.262,22.5884,529.403,50.0738
15.312,22.6288,528.542,50.2378
15.362,22.6086,529.037,50.4019
15.412,22.6288,528.422,50.5659
15.462,22.6181,529.283,50.73
15.512,22.6288,528.812,50.894
15.562,22.6693,528.302,51.0581
15.612,22.6288,529.166,51.2221
15.662,22.6693,528.792,51.3862
15.712,22.649,529.535,51.5502
15.762,22.6693,528.795,51.7142
15.812,22.6693,529.658,51.8783
15.862,22.649,528.553,52.0423
15.912,22.6823,530.024,52.2064
15.962,22.6767,528.822,52.3704
16.012,22.6693,529.595,52.5344
16.062,22.7037,528.921,52.6985
16.112,22.6895,529.868,52.8625
16.162,22.7097,528.802,53.0266
16.212,22.7037,529.543,53.1906
16.262,22.6895,528.696,53.3546
16.312,22.7299,528.802,53.5187
16.362,22.7097,529.301,53.6827
16.412,22.7466,528.682,53.8468
16.462,22.7097,529.485,54.0108
16.512,22.7299,528.682,54.1749
16.562,22.7299,529.547,54.3389
16.612,22.7501,528.441,54.5029
16.662,22.7299,529.305,54.667
16.712,22.7501,528.441,54.831
16.762,22.7501,529.305,54.9951
16.812,22.7704,528.199,55.1591
16.862,22.7501,529.186,55.3231
16.912,22.7704,528.322,55.4872
16.962,22.7466,529.31,55.6512
17.012,22.7704,528.834,55.8153
17.062,22.7906,528.449,55.9793
17.112,22.7501,529.561,56.1434
17.162,22.7906,529.059,56.3074
17.212,22.7501,529.808,56.4714
17.262,22.7906,529.305,56.6355
17.312,22.7704,530.178,56.7995
17.362,22.7906,529.31,56.9636
17.412,22.7704,530.426,57.1276
17.462,22.8108,529.679,57.2917
17.512,22.7704,530.307,57.4557
17.562,22.8322,529.803,57.6197
17.612,22.7906,530.685,57.7838
17.662,22.831,529.808,57.9478
17.712,22.8108,530.561,58.1119
17.762,22.8322,529.689,58.2759
17.812,22.831,529.506,58.4399
17.862,22.831,530.561,58.604
17.912,22.8512,529.324,58.768
17.962,22.831,530.319,58.9321
18.012,22.8512,529.324,59.0961
18.062,22.8683,530.071,59.2602
18.112,22.831,529.523,59.4242
18.162,22.8715,529.201,59.5882
18.212,22.8715,529.83,59.7523
18.262,22.8715,528.719,59.9163
18.312,22.8715,529.583,60.0804
18.362,22.8917,528.596,60.2444
18.412,22.875,529.218,60.4085
18.462,22.875,528.473,60.5725
18.512,22.875,528.734,60.7365
18.562,22.9178,528.604,60.9006
18.612,22.8715,529.269,61.0646
18.662,22.8964,528.596,61.2287
18.712,22.9321,528.479,61.3927
18.762,22.9119,528.736,61.5567
18.812,22.9393,528.114,61.7208
18.862,22.9119,529.014,61.8848
18.912,22.9178,528.114,62.0489
18.962,22.9607,528.224,62.2129
19.012,22.9178,529.021,62.377
19.062,22.9523,528.616,62.541
19.112,22.9607,527.88,62.705
19.162,22.9393,529.283,62.8691
19.212,22.9393,528.492,63.0331
19.262,22.9523,528.492,63.1972
19.312,22.9821,529.113,63.3612
19.362,22.9607,528.113,63.5252
19.412,23.013,528.629,63.6893
19.462,22.9821,528.886,63.8533
19.512,23.0035,528.374,64.0174
19.562,23.013,528.251,64.1814
19.612,23.0035,529.01,64.3455
19.662,23.0249,528.251,64.5095
19.712,23.0035,527.997,64.6735
19.762,23.0463,528.381,64.8376
19.812,23.0332,529.051,65.0016
19.862,23.0249,527.782,65.1657
19.912,23.0463,528.127,65.3297
19.962,22.9607,529.182,65.4938
20.012,23.0463,528.759,65.6578
20.062,23.0534,527.873,65.8218
20.112,23.0463,528.653,65.9859
20.162,23.0463,527.873,66.1499
20.212,23.0737,527.873,66.314
20.262,23.0891,528.29,66.478
20.312,23.0677,527.497,66.642
20.362,23.1141,527.881,66.8061
20.412,23.0891,528.058,66.9701
20.462,23.1065,527.758,67.1342
20.512,23.1141,527.854,67.2982
20.562,23.1319,527.564,67.4623
20.612,23.1141,528.822,67.6263
20.662,23.1105,527.687,67.7904
20.712,23.1105,528.027,67.9544
20.762,23.1105,521.823,68.1184
20.812,23.1319,527.505,68.2825
20.862,23.1319,528.036,68.4465
20.912,23.1545,528.036,68.6106
20.962,23.1319,528.569,68.7746
21.012,23.1545,528.298,68.9386
21.062,23.1534,528.941,69.1027
21.112,23.1545,528.175,69.2667
21.162,23.1962,527.95,69.4308
21.212,23.1534,528.981,69.5948
21.262,23.1748,528.569,69.7589
21.312,23.1748,528.082,69.9229
21.362,23.1748,529.498,70.0869
21.412,23.1748,528.33,70.251
21.462,23.2176,528.446,70.415
21.512,23.1748,529.254,70.5791
21.562,23.1962,528.578,70.7431
21.612,23.2152,528.456,70.9071
21.662,23.195,529.217,71.0712
21.712,23.2152,528.71,71.2352
21.762,23.2176,529.59,71.3993
21.812,23.2152,528.465,71.5633
21.862,23.2152,529.465,71.7273
21.912,23.239,528.347,71.8914
21.962,23.2354,528.475,72.0554
22.012,23.2176,529.724,72.2195
22.062,23.2354,529.254,72.3835
22.112,23.2354,529.724,72.5476
22.162,23.2556,528.605,72.7116
22.212,23.239,529.485,72.8756
22.262,23.2556,529.001,73.0397
22.312,23.2556,528.614,73.2037
22.362,23.2759,529.859,73.3678
22.412,23.2759,528.748,73.5318
22.462,23.2759,529.745,73.6959
22.512,23.2961,528.748,73.8599
22.562,23.2759,529.506,74.0239
22.612,23.2961,529.121,74.188
22.662,23.2759,530.005,74.352
22.712,23.3163,529.495,74.5161
22.762,23.3089,529.891,74.6801
22.812,23.2818,529.466,74.8441
22.862,23.2961,529.022,75.0082
22.912,23.3246,528.634,75.1722
22.962,23.3163,529.836,75.3363
23.012,23.3246,528.52,75.5003
23.062,23.3365,528.78,75.6644
23.112,23.3365,529.652,75.8284
23.162,23.3472,528.779,75.9924
23.212,23.3365,529.25,76.1565
23.262,23.3365,529.777,76.3205
23.312,23.346,528.654,76.4846
23.362,23.3365,528.659,76.6486
23.412,23.3365,530.027,76.8127
23.462,23.3567,529.028,76.9767
23.512,23.3365,529.788,77.1407
23.562,23.377,529.028,77.3048
23.612,23.3567,529.674,77.4688
23.662,23.3663,528.914,77.6329
23.712,23.377,529.734,77.7969
23.762,23.3855,530.3,77.9609
23.812,23.3972,529.153,78.125
23.862,23.4001,530.563,78.289
23.912,23.4376,529.437,78.4531
23.962,23.4174,529.71,78.6171
24.012,23.4376,529.447,78.7812
24.062,23.4174,531.343,78.9452
24.112,23.4596,531.204,79.1092
