Depth,Temperature,FCond,  Depth ft
9.88,23.0908,569.084,32.4256
9.93,23.0838,571.117,32.5897
9.98,23.0708,569.743,32.7537
10.03,23.0628,569.109,32.9177
10.08,23.0908,569.879,33.0818
10.13,23.0628,571.317,33.2458
10.18,23.0448,570.078,33.4099
10.23,23.0908,569.995,33.5739
10.28,23.0908,571.117,33.7379
10.33,23.0708,569.521,33.902
10.38,23.0908,569.294,34.066
10.43,23.0908,571.317,34.2301
10.48,23.0908,569.521,34.3941
10.53,23.1188,569.72,34.5582
10.58,23.1228,569.164,34.7222
10.63,23.0908,570.479,34.8862
10.68,23.1488,569.521,35.0503
10.73,23.1228,569.961,35.2143
10.78,23.1188,568.815,35.3784
10.83,23.1748,569.362,35.5424
10.88,23.1188,570.642,35.7064
10.93,23.1468,569.561,35.8705
10.98,23.1468,569.403,36.0345
11.03,23.1488,569.602,36.1986
11.08,23.1748,570.703,36.3626
11.13,23.1468,569.046,36.5267
11.18,23.1748,569.602,36.6907
11.23,23.1748,570.371,36.8548
11.28,23.1748,569.245,37.0188
11.33,23.1748,570.371,37.1828
11.38,23.2028,568.89,37.3469
11.43,23.2008,569.088,37.5109
11.48,23.2008,570.41,37.675
11.53,23.2308,568.929,37.839
11.58,23.2008,570.728,38.003
11.63,23.2028,569.113,38.1671
11.68,23.2308,569.686,38.3311
11.73,23.2268,571.129,38.4952
11.78,23.2308,568.783,38.6592
11.83,23.2528,569.13,38.8233
11.88,23.2308,570.305,38.9873
11.93,23.2528,569.529,39.1513
11.98,23.2308,570.491,39.3154
12.03,23.2268,569.529,39.4794
12.08,23.2528,568.967,39.6435
12.13,23.2268,570.491,39.8075
12.18,23.2528,568.967,39.9715
12.23,23.2308,570.305,40.1356
12.28,23.2528,569.329,40.2996
12.33,23.2308,570.119,40.4637
12.38,23.2268,569.329,40.6277
12.43,23.2588,568.967,40.7918
12.48,23.2268,570.772,40.9558
12.53,23.2588,568.783,41.1198
12.58,23.2528,568.774,41.2839
12.63,23.2308,570.305,41.4479
12.68,23.2788,569.13,41.612
12.73,23.2528,569.788,41.776
12.78,23.2788,568.822,41.94
12.83,23.2868,569.974,42.1041
12.88,23.2788,568.817,42.2681
12.93,23.3048,568.491,42.4322
12.98,23.2788,569.829,42.5962
13.03,23.3148,568.676,42.7603
13.08,23.3048,570.46,42.9243
13.13,23.2868,568.531,43.0883
13.18,23.3307,569.016,43.2524
13.23,23.3148,569.87,43.4164
13.28,23.3307,569.059,43.5805
13.33,23.3307,570.242,43.7445
13.38,23.3148,568.571,43.9086
13.43,23.3567,569.259,44.0726
13.48,23.3307,569.911,44.2366
13.53,23.3827,568.757,44.4007
13.58,23.3427,569.581,44.5647
13.63,23.3827,568.904,44.7288
13.68,23.3567,569.953,44.8928
13.73,23.3827,568.612,45.0568
13.78,23.3707,569.767,45.2209
13.83,23.3827,568.948,45.3849
13.88,23.3987,568.283,45.549
13.93,23.3827,570.395,45.713
13.98,23.3987,568.468,45.8771
14.03,23.4087,568.992,46.0411
14.08,23.3827,570.555,46.2051
14.13,23.4267,569.395,46.3692
14.18,23.3827,570.241,46.5332
14.23,23.4087,568.468,46.6973
14.28,23.3827,569.996,46.8613
14.33,23.3707,568.468,47.0254
14.38,23.4087,569.348,47.1894
14.43,23.3827,569.81,47.3534
14.48,23.4087,568.838,47.5175
14.53,23.3707,569.81,47.6815
14.58,23.4087,569.148,47.8456
14.63,23.3987,569.996,48.0096
14.68,23.4087,568.593,48.1736
14.73,23.4087,568.139,48.3377
14.78,23.4267,569.81,48.5017
14.83,23.4347,568.239,48.6658
14.88,23.4547,569.48,48.8298
14.93,23.4347,568.683,48.9939
14.98,23.4607,569.852,49.1579
15.03,23.4607,571.204,49.3219
15.08,23.4867,570.269,49.486
15.13,23.4827,571.623,49.65
15.18,23.5127,571.746,49.8141
15.23,23.5127,572.987,49.9781
15.28,23.4827,571.857,50.1422
15.33,23.5387,572.151,50.3062
15.38,23.5107,573.411,50.4702
15.43,23.5127,573.012,50.6343
15.48,23.5107,573.175,50.7983
15.53,23.5127,570.987,50.9624
15.58,23.5387,570.731,51.1264
15.63,23.5387,572.859,51.2904
15.68,23.5387,570.964,51.4545
15.73,23.5387,572.467,51.6185
15.78,23.5387,571.238,51.7826
15.83,23.5647,571.339,51.9466
15.88,23.5387,572.703,52.1107
15.93,23.5667,571.339,52.2747
15.98,23.5387,573.113,52.4387
16.03,23.5647,571.527,52.6028
16.08,23.5667,572.703,52.7668
16.13,23.5387,571.287,52.9309
16.18,23.5647,571.845,53.0949
16.23,23.5387,572.703,53.2589
16.28,23.5647,571.845,53.423
16.33,23.5647,571.197,53.587
16.38,23.5387,572.892,53.7511
16.43,23.5907,571.845,53.9151
