     Depth,SVelocity,PVelocity
26.438,3623.19,6445.15
26.538,3571.43,6445.15
26.638,3424.66,6445.15
26.738,3333.33,6445.15
26.838,3246.75,6445.15
26.938,3246.75,6445.15
27.038,3246.75,6445.15
27.138,3333.33,6569.89
27.238,3333.33,6569.89
27.338,3424.66,6699.56
27.438,3521.13,6699.56
27.538,3333.33,6699.56
27.638,3289.47,6834.45
27.738,3289.47,6974.89
27.838,3333.33,6974.89
27.938,3333.33,6974.89
28.038,3378.38,6974.89
28.138,3472.22,6974.89
28.238,3521.13,6974.89
28.338,3676.47,6974.89
28.438,3731.34,6974.89
28.538,3731.34,6974.89
28.638,3787.88,6974.89
28.738,3731.34,6974.89
28.838,3731.34,6974.89
28.938,3731.34,6974.89
29.038,3846.15,6974.89
29.138,3731.34,6974.89
29.238,3623.19,6974.89
29.338,3378.38,6974.89
29.438,3333.33,7121.21
29.538,3289.47,7273.81
29.638,3333.33,7273.81
29.738,3378.38,7273.81
29.838,3424.66,7273.81
29.938,3472.22,7273.81
30.038,3424.66,7273.81
30.138,3333.33,7273.81
30.238,3246.75,7273.81
30.338,3246.75,7273.81
30.438,3333.33,7273.81
30.538,3378.38,7273.81
30.638,3378.38,7273.81
30.738,3333.33,7273.81
30.838,3333.33,7273.81
30.938,3378.38,7121.21
31.038,3424.66,6974.89
31.138,3424.66,6974.89
31.238,3424.66,6974.89
31.338,3424.66,6834.45
31.438,3472.22,6834.45
31.538,3521.13,6699.56
31.638,3623.19,6699.56
31.738,3623.19,6569.89
31.838,3623.19,6569.89
31.938,3623.19,6569.89
32.038,3623.19,6445.15
32.138,3623.19,6445.15
32.238,3623.19,6445.15
32.338,3623.19,6699.56
32.438,3623.19,6699.56
32.538,3623.19,6699.56
32.638,3521.13,6699.56
32.738,3472.22,6699.56
32.838,3472.22,6699.56
32.938,3472.22,6699.56
33.038,3472.22,6569.89
33.138,3424.66,6569.89
33.238,3424.66,6569.89
33.338,3424.66,6569.89
33.438,3472.22,6569.89
33.538,3472.22,6569.89
33.638,3521.13,6569.89
33.738,3521.13,6569.89
33.838,3521.13,6569.89
33.938,3571.43,6569.89
34.038,3571.43,6569.89
34.138,3521.13,6699.56
34.238,3521.13,6699.56
34.338,3472.22,6699.56
34.438,3424.66,6699.56
34.538,3424.66,6699.56
34.638,3424.66,6699.56
34.738,3472.22,6699.56
34.838,3571.43,6699.56
34.938,3521.13,6699.56
35.038,3521.13,6699.56
35.138,3521.13,6699.56
35.238,3521.13,6699.56
35.338,3472.22,6699.56
35.438,3424.66,6699.56
35.538,3424.66,6569.89
35.638,3424.66,6569.89
35.738,3424.66,6569.89
35.838,3424.66,6569.89
35.938,3424.66,6569.89
36.038,3424.66,6569.89
36.138,3424.66,6699.56
36.238,3424.66,6699.56
36.338,3378.38,6699.56
36.438,3333.33,6699.56
36.538,3333.33,6699.56
36.638,3378.38,6699.56
36.738,3424.66,6699.56
36.838,3424.66,6699.56
36.938,3424.66,6699.56
37.038,3472.22,6699.56
37.138,3472.22,6699.56
37.238,3424.66,6699.56
37.338,3424.66,6699.56
37.438,3378.38,6699.56
37.538,3424.66,6699.56
37.638,3472.22,6699.56
37.738,3472.22,6699.56
37.838,3472.22,6699.56
37.938,3521.13,6699.56
38.038,3472.22,6699.56
38.138,3472.22,6699.56
38.238,3424.66,6699.56
38.338,3378.38,6699.56
38.438,3378.38,6699.56
38.538,3289.47,6699.56
38.638,3289.47,6699.56
38.738,3333.33,6699.56
38.838,3378.38,6699.56
38.938,3424.66,6974.89
39.038,3521.13,6974.89
39.138,3571.43,6974.89
39.238,3521.13,6974.89
39.338,3571.43,6974.89
39.438,3571.43,6974.89
39.538,3571.43,7121.21
39.638,3623.19,7121.21
39.738,3623.19,7121.21
39.838,3623.19,7121.21
39.938,3623.19,7121.21
40.038,3571.43,7121.21
40.138,3521.13,7121.21
40.238,3521.13,7121.21
40.338,3571.43,7121.21
40.438,3472.22,6834.45
40.538,3378.38,6834.45
40.638,3289.47,6569.89
40.738,3289.47,6286.01
40.838,3333.33,6286.01
40.938,3378.38,6286.01
41.038,3424.66,6286.01
41.138,3424.66,6286.01
41.238,3378.38,6286.01
41.338,3424.66,6286.01
41.438,3378.38,6286.01
41.538,3378.38,6286.01
41.638,3378.38,6286.01
41.738,3378.38,6286.01
41.838,3378.38,6286.01
41.938,3472.22,6286.01
42.038,3623.19,6286.01
42.138,3676.47,6286.01
42.238,3676.47,6445.15
42.338,3571.43,6445.15
42.438,3571.43,6061.51
42.538,3571.43,6061.51
42.638,3364.54,6061.51
42.738,3364.54,6061.51
42.838,3195.61,6061.51
42.938,3104.68,6061.51
43.038,3104.68,6061.51
43.138,3104.68,6061.51
43.238,3195.61,6061.51
43.338,3195.61,6061.51
43.438,3277.9,6061.51
43.538,3320.65,6061.51
43.638,3164.56,6061.51
43.738,3246.75,6061.51
43.838,3205.13,6171.72
43.938,3378.38,6171.72
44.038,3424.66,6445.15
44.138,3424.66,6445.15
44.238,3333.33,6445.15
44.338,3289.47,6445.15
44.438,3246.75,6569.89
44.538,3205.13,6699.56
44.638,3246.75,6699.56
44.738,3333.33,6699.56
44.838,3472.22,6834.45
44.938,3571.43,6834.45
45.038,3676.47,6834.45
45.138,3623.19,6834.45
45.238,3571.43,6699.56
45.338,3521.13,6569.89
45.438,3472.22,6569.89
45.538,3424.66,6569.89
45.638,3378.38,6569.89
45.738,3424.66,6699.56
45.838,3333.33,6699.56
45.938,3246.75,6699.56
46.038,3205.13,6699.56
46.138,3246.75,6699.56
46.238,3289.47,6699.56
46.338,3289.47,6699.56
46.438,3378.38,6699.56
46.538,3424.66,6699.56
46.638,3571.43,6699.56
46.738,3623.19,6699.56
46.838,3623.19,6699.56
46.938,3676.47,6699.56
47.038,3676.47,6699.56
47.138,3676.47,6699.56
47.238,3676.47,6699.56
47.338,3676.47,6974.89
47.438,3571.43,6974.89
47.538,3676.47,6974.89
47.638,3623.19,6974.89
47.738,3623.19,7121.21
47.838,3623.19,7121.21
47.938,3623.19,7121.21
48.038,3623.19,6974.89
48.138,3623.19,6974.89
48.238,3676.47,6974.89
48.338,3676.47,6974.89
48.438,3623.19,6974.89
48.538,3571.43,6974.89
48.638,3571.43,6974.89
48.738,3571.43,6974.89
48.838,3623.19,6974.89
48.938,3623.19,6974.89
49.038,3571.43,6834.45
49.138,3571.43,6834.45
49.238,3571.43,6834.45
49.338,3676.47,6699.56
49.438,3676.47,6699.56
49.538,3731.34,6699.56
49.638,3731.34,6699.56
49.738,3731.34,6699.56
49.838,3731.34,6699.56
49.938,3731.34,6569.89
50.038,3731.34,6569.89
50.138,3676.47,6569.89
50.238,3676.47,6569.89
50.338,3676.47,6699.56
50.438,3623.19,6834.45
50.538,3676.47,6834.45
50.638,3731.34,6834.45
50.738,3676.47,6974.89
50.838,3676.47,6974.89
50.938,3623.19,6834.45
51.038,3623.19,6834.45
51.138,3571.43,6834.45
51.238,3623.19,6834.45
51.338,3623.19,6834.45
51.438,3571.43,6834.45
51.538,3623.19,6834.45
51.638,3623.19,6834.45
51.738,3623.19,6834.45
51.838,3676.47,6834.45
51.938,3676.47,6834.45
52.038,3623.19,6834.45
52.138,3571.43,6834.45
52.238,3472.22,6834.45
52.338,3378.38,6834.45
52.438,3333.33,6834.45
52.538,3289.47,6834.45
52.638,3205.13,6834.45
52.738,3164.56,6834.45
52.838,3164.56,6834.45
52.938,3164.56,6834.45
53.038,3205.13,6834.45
53.138,3205.13,6834.45
53.238,3246.75,6834.45
53.338,3289.47,6834.45
53.438,3333.33,6834.45
53.538,3424.66,6834.45
53.638,3472.22,6834.45
53.738,3619.67,6699.56
53.838,3619.67,6699.56
53.938,3725.61,6699.56
54.038,3780.94,6699.56
54.138,3780.94,6569.89
54.238,3780.94,6569.89
54.338,3780.94,6569.89
54.438,3837.94,6569.89
54.538,3968.25,6569.89
54.638,3968.25,6569.89
54.738,4032.26,6569.89
54.838,4032.26,6569.89
54.938,3968.25,6569.89
55.038,3846.15,6569.89
55.138,3787.88,6569.89
55.238,3676.47,6445.15
55.338,3571.43,6286.01
55.438,3521.13,6286.01
55.538,3424.66,6171.72
55.638,3378.38,6171.72
55.738,3333.33,6061.51
55.838,3333.33,6061.51
55.938,3164.56,5955.17
56.038,3086.42,5955.17
56.138,3086.42,5955.17
