     Depth,Temperature,FCond 25'C
         m,      deg C,     uS/cm
     13.55,    24.3408,   573.178
     13.60,    24.3133,   573.068
     13.65,    24.3408,   572.844
     13.70,    24.3309,   573.068
     13.75,    24.3408,   572.394
     13.80,    24.3576,   573.068
     13.85,    24.3309,   572.858
     13.90,    24.3408,   572.394
     13.95,    24.3659,   573.178
     14.00,    24.3309,    573.11
     14.05,    24.3576,   572.509
     14.10,    24.3484,   572.968
     14.15,    24.3576,   572.406
     14.20,    24.3576,   573.079
     14.25,    24.3408,   572.968
     14.30,    24.3484,   573.289
     14.35,    24.3743,    572.29
     14.40,    24.3576,   572.759
     14.45,    24.3484,   573.079
     14.50,    24.3743,   572.406
     14.55,    24.3576,   572.869
     14.60,    24.3659,   572.968
     14.65,    24.3743,   572.302
     14.70,    24.3659,   572.869
     14.75,    24.3659,   572.187
     14.80,    24.3743,   573.341
     14.85,    24.3659,   572.869
     14.90,    24.3743,   572.302
     14.95,    24.3911,   572.869
     15.00,    24.3659,   572.881
     15.05,    24.3743,   572.302
     15.10,    24.3911,    572.98
     15.15,    24.3659,    572.66
     15.20,    24.3743,   572.302
     15.25,    24.3911,    572.98
     15.30,    24.3835,    572.77
     15.35,    24.3835,   572.083
     15.40,    24.3743,   573.122
     15.45,     24.401,   571.987
     15.50,    24.3911,   572.903
     15.55,    24.3835,   572.881
     15.60,    24.3911,   572.083
     15.65,    24.4079,   572.881
     15.70,    24.3835,   572.782
     15.75,    24.3911,   572.198
     15.80,    24.3911,    572.77
     15.85,    24.3911,   572.991
     15.90,     24.401,   571.888
     15.95,    24.4079,   573.018
     16.00,    24.3743,   572.782
     16.05,    24.4079,   572.207
     16.10,    24.4186,   572.671
     16.15,    24.3835,   572.915
     16.20,    24.4186,   572.314
     16.25,    24.3911,   572.915
     16.30,    24.4186,   572.108
     16.35,    24.4079,   572.915
     16.40,    24.4079,   572.892
     16.45,    24.4186,   571.899
     16.50,    24.4247,   573.031
     16.55,    24.4079,   572.683
     16.60,    24.4361,   571.899
     16.65,    24.4247,   572.812
     16.70,    24.4247,   572.794
     16.75,    24.4361,    571.69
     16.80,    24.4247,   572.812
     16.85,    24.4361,   572.683
     16.90,    24.4361,   571.888
     16.95,    24.4186,   572.812
     17.00,    24.4415,   572.107
     17.05,    24.4415,   572.584
     17.10,    24.4415,   572.584
     17.15,    24.4361,   571.702
     17.20,    24.4415,   572.927
     17.25,    24.4415,   572.584
     17.30,    24.4415,   571.702
     17.35,    24.4537,   572.695
     17.40,    24.4415,   572.709
     17.45,    24.4415,   571.702
