     Depth,Temperature,TC FCond 25'C
         m,      deg C,        uS/cm
     11.63,    23.8334,      770.623
     11.68,    23.8507,      770.163
     11.73,     23.816,      771.934
     11.78,    23.8334,      770.458
     11.83,     23.816,      770.163
     11.88,    23.8334,      770.458
     11.93,     23.816,      772.229
     11.98,     23.816,      770.229
     12.03,     23.816,      770.229
     12.08,    23.8334,      770.229
     12.13,    23.8016,      771.769
     12.18,    23.8218,      769.369
     12.23,    23.8261,      771.698
     12.28,    23.8548,      768.604
     12.33,    23.8835,      770.858
     12.38,    23.8835,      770.916
     12.43,    23.8845,       771.17
     12.48,    23.8835,      770.418
     12.53,    23.8845,       771.17
     12.58,    23.8644,      770.658
     12.63,    23.8835,      769.216
     12.68,    23.8663,       771.17
     12.73,    23.8835,      770.968
     12.78,    23.8845,      770.916
     12.83,    23.8845,      770.418
     12.88,    23.8663,      770.658
     12.93,    23.8845,      770.486
     12.98,    23.8663,      770.177
     13.03,    23.8644,      770.486
     13.08,    23.8845,      771.241
     13.13,    23.8663,      769.936
     13.18,    23.8663,      770.245
     13.23,    23.8452,      770.005
     13.28,    23.8644,      768.783
     13.33,    23.8623,      770.734
     13.38,    23.8623,      771.277
     13.43,    23.8507,      768.873
     13.48,    23.8507,       769.64
     13.53,    23.8623,      770.098
     13.58,    23.8507,       771.01
     13.63,    23.8507,      768.384
     13.68,    23.8784,      771.474
     13.73,    23.8599,      770.039
     13.78,     23.913,      769.336
     13.83,    23.9482,      770.224
     13.88,    23.9455,      769.819
     13.93,    23.9455,      769.016
     13.98,    23.9482,      769.298
     14.03,    23.9669,      769.819
     14.08,    23.9482,      771.489
     14.13,    23.9455,      769.819
     14.18,    23.9241,      769.298
     14.23,    23.9634,      769.661
     14.28,    23.9455,      770.633
     14.33,    23.9241,      769.298
     14.38,    23.9455,      769.378
     14.43,    23.9669,      769.298
     14.48,    23.9241,      771.204
     14.53,    23.9455,      769.378
     14.58,    23.9455,      769.016
     14.63,    23.9455,      769.016
     14.68,    23.9241,      771.568
     14.73,    23.9455,      769.378
     14.78,    23.9241,      768.733
     14.83,    23.9254,      769.095
     14.88,    23.9455,      770.205
     14.93,    23.9229,      771.283
     14.98,    23.9241,      768.645
     15.03,    23.9229,      769.095
     15.08,    23.9027,      771.051
     15.13,    23.9431,      769.175
     15.18,    23.9229,      770.172
     15.23,    23.9241,      768.112
