Depth,Temperature,FCond,  Depth ft
10.297,23.6687,666.365,33.7817
10.347,23.6601,664.45,33.9457
10.397,23.6843,666.365,34.1098
10.447,23.7086,666.246,34.2738
10.497,23.6843,665.889,34.4379
10.547,23.698,664.102,34.6019
10.597,23.7328,665.806,34.766
10.647,23.7086,665.531,34.93
10.697,23.7086,666.128,35.094
10.747,23.7086,665.889,35.2581
10.797,23.7086,663.983,35.4221
10.847,23.7328,665.889,35.5862
10.897,23.7086,665.531,35.7502
10.947,23.7086,666.128,35.9142
10.997,23.7328,663.745,36.0783
11.047,23.7207,665.77,36.2423
11.097,23.7086,666.496,36.4064
11.147,23.7328,663.983,36.5704
11.197,23.7328,665.77,36.7345
11.247,23.7328,665.77,36.8985
11.297,23.7086,665.531,37.0625
11.347,23.7328,663.983,37.2266
11.397,23.7328,665.531,37.3906
11.447,23.7328,665.77,37.5547
11.497,23.7328,665.531,37.7187
11.547,23.7328,663.389,37.8827
11.597,23.7328,665.531,38.0468
11.647,23.7571,665.531,38.2108
11.697,23.7086,664.936,38.3749
11.747,23.7727,663.508,38.5389
11.797,23.7328,665.474,38.703
11.847,23.7571,665.293,38.867
11.897,23.7727,663.034,39.031
11.947,23.7662,665.73,39.1951
11.997,23.789,665.026,39.3591
12.047,23.8056,664.916,39.5232
12.097,23.789,665.178,39.6872
12.147,23.7814,664.692,39.8512
12.197,23.8056,663.153,40.0153
12.247,23.8056,664.701,40.1793
12.297,23.8056,664.701,40.3434
12.347,23.7814,664.462,40.5074
12.397,23.8299,662.916,40.6715
12.447,23.8056,664.107,40.8355
12.497,23.8056,664.701,40.9995
12.547,23.7814,664.701,41.1636
12.597,23.8247,662.678,41.3276
12.647,23.8056,664.967,41.4917
12.697,23.7814,664.462,41.6557
12.747,23.8299,662.678,41.8197
12.797,23.8056,664.107,41.9838
12.847,23.8299,664.462,42.1479
12.897,23.7987,664.107,42.3119
12.947,23.8299,662.797,42.4759
12.997,23.8247,663.868,42.64
13.047,23.8299,662.417,42.804
13.097,23.8507,664.107,42.9681
13.147,23.8056,664.585,43.1321
13.197,23.8345,663.035,43.2961
13.247,23.8507,664.248,43.4602
13.297,23.8236,665.439,43.6242
13.347,23.8644,663.806,43.7883
13.397,23.8452,664.681,43.9523
13.447,23.8452,664.773,44.1163
13.497,23.8663,664.585,44.2804
13.547,23.8623,663.871,44.4444
13.597,23.8542,663.197,44.6085
13.647,23.8767,664.944,44.7725
13.697,23.8767,662.929,44.9366
13.747,23.8542,664.972,45.1006
13.797,23.8507,664.944,45.2646
13.847,23.8767,663.309,45.4287
13.897,23.8767,665.229,45.5927
13.947,23.8767,662.674,45.7568
13.997,23.8467,665.229,45.9208
14.047,23.8507,663.897,46.0848
14.097,23.8767,663.309,46.2489
14.147,23.8747,665.229,46.4129
14.197,23.8767,663.487,46.577
14.247,23.8507,665.485,46.741
14.297,23.8767,663.309,46.9051
14.347,23.8507,665.485,47.0691
14.397,23.8767,663.564,47.2331
14.447,23.8747,665.485,47.3972
14.497,23.8507,663.487,47.5612
14.547,23.8767,663.564,47.7253
14.597,23.8507,665.485,47.8893
14.647,23.8767,663.309,48.0533
14.697,23.8747,665.485,48.2174
14.747,23.8767,663.762,48.3814
14.797,23.8747,665.229,48.5455
14.847,23.8507,663.487,48.7095
14.897,23.8767,663.564,48.8736
14.947,23.8747,665.229,49.0376
14.997,23.8767,663.762,49.2016
15.047,23.8507,665.229,49.3657
15.097,23.8767,663.564,49.5297
15.147,23.8572,665.485,49.6938
15.197,23.8599,664.362,49.8578
15.247,23.8599,664.06,50.0218
15.297,23.8572,664.06,50.1859
15.347,23.8599,664.362,50.3499
15.397,23.8813,664.06,50.514
15.447,23.8385,665.433,50.678
15.497,23.8365,664.163,50.8421
15.547,23.8507,664.096,51.0061
15.597,23.8319,664.585,51.1702
15.647,23.835,664.832,51.3342
15.697,23.8276,665.042,51.4982
15.747,23.8247,665,51.6623
15.797,23.8877,664.927,51.8263
15.847,23.9867,665.25,51.9904
15.897,23.9547,666.267,52.1544
15.947,23.9587,663.32,52.3184
15.997,23.9867,664.186,52.4825
16.047,23.9867,665.99,52.6465
16.097,23.9587,663.502,52.8106
16.147,23.9587,664.186,52.9746
16.197,24.0147,664.186,53.1387
16.247,23.9587,665.857,53.3027
16.297,23.9587,664.186,53.4667
16.347,23.9867,664.186,53.6308
16.397,23.9867,663.778,53.7948
16.447,23.9587,666.545,53.9589
16.497,23.9867,664.186,54.1229
16.547,23.9807,664.053,54.2869
16.597,23.9587,665.761,54.451
16.647,23.9867,664.186,54.615
16.697,23.9587,664.053,54.7791
16.747,24.0147,664.462,54.9431
16.797,23.9587,666.135,55.1072
16.847,23.9867,664.462,55.2712
16.897,24.0147,664.329,55.4352
16.947,24.0147,663.921,55.5993
16.997,24.0147,666.691,55.7633
17.047,23.9867,664.197,55.9274
17.097,24.0147,664.882,56.0914
17.147,24.0427,664.197,56.2554
17.197,24.0147,666.559,56.4195
17.247,24.0147,664.473,56.5835
17.297,23.9867,664.473,56.7476
17.347,24.0427,665.159,56.9116
17.397,24.0147,666.559,57.0757
17.447,24.0147,664.749,57.2397
17.497,24.0147,664.749,57.4037
17.547,24.0587,664.473,57.5678
17.597,24.024,666.166,57.7318
17.647,24.0147,665.213,57.8959
17.697,24.0427,664.749,58.0599
17.747,24.0427,664.617,58.224
17.797,24.0427,667.116,58.388
17.847,24.0147,664.894,58.552
17.897,24.0427,665.026,58.7161
17.947,24.0427,664.894,58.8801
17.997,24.0427,667.395,59.0442
18.047,24.0427,664.617,59.2082
18.097,24.0427,664.617,59.3722
18.147,24.0427,664.617,59.5363
18.197,24.0427,667.116,59.7003
18.247,24.0427,664.894,59.8644
18.297,24.0707,664.617,60.0284
