     Depth,PVelocity,SVelocity
24.745,7686.78,4016.52
24.845,7686.78,4016.52
24.945,7686.78,3962.96
25.045,7686.78,3962.96
25.145,7890.86,3962.96
25.245,7890.86,3962.96
25.345,7890.86,3962.96
25.445,7890.86,3962.96
25.545,7890.86,3962.96
25.645,7890.86,3962.96
25.745,7890.86,3762.31
25.845,7686.78,3762.31
25.945,7686.78,3810.54
26.045,7308.74,3810.54
26.145,7308.74,3810.54
26.245,7308.74,3810.54
26.345,7308.74,3810.54
26.445,7308.74,3860.03
26.545,7308.74,3910.82
26.645,7308.74,3910.82
26.745,7308.74,3962.96
26.845,7308.74,3962.96
26.945,7308.74,3962.96
27.045,7308.74,3962.96
27.145,7308.74,3860.03
27.245,7308.74,3860.03
27.345,7686.78,3810.54
27.445,7686.78,3810.54
27.545,7890.86,3810.54
27.645,7890.86,3810.54
27.745,7890.86,3810.54
27.845,7890.86,3810.54
27.945,7890.86,3810.54
28.045,7890.86,3910.82
28.145,7686.78,3910.82
28.245,7686.78,3910.82
28.345,7686.78,3910.82
28.445,7686.78,3910.82
28.545,7686.78,3910.82
28.645,7686.78,3910.82
28.745,7686.78,3810.54
28.845,7686.78,3810.54
28.945,7686.78,3810.54
29.045,7686.78,3810.54
29.145,7686.78,3860.03
29.245,7686.78,3860.03
29.345,7686.78,3860.03
29.445,7493,3860.03
29.545,7493,3860.03
29.645,7493,3810.54
29.745,7493,3762.31
29.845,7493,3762.31
29.945,7493,3715.28
30.045,7493,3715.28
30.145,7686.78,3654.37
30.245,7686.78,3609.99
30.345,7686.78,3654.37
30.445,7686.78,3762.31
30.545,7686.78,3762.31
30.645,7686.78,3860.03
30.745,7686.78,3860.03
30.845,7686.78,3860.03
30.945,7493,3860.03
31.045,7493,3860.03
31.145,7493,3860.03
31.245,7493,3860.03
31.345,7493,3860.03
31.445,7493,3860.03
31.545,7493,3860.03
31.645,7493,3810.54
31.745,7493,3810.54
31.845,7493,3810.54
31.945,7493,3910.82
32.045,7493,3860.03
32.145,7308.74,3810.54
32.245,7308.74,3810.54
32.345,7308.74,3810.54
32.445,7133.33,3810.54
32.545,7133.33,3860.03
32.645,7133.33,3860.03
32.745,7133.33,3860.03
32.845,7133.33,3860.03
32.945,7133.33,3810.54
33.045,7133.33,3715.28
33.145,7133.33,3654.37
33.245,7133.33,3609.99
33.345,7133.33,3609.99
33.445,7133.33,3715.28
33.545,7493,3715.28
33.645,7493,3654.37
33.745,7493,3609.99
33.845,7493,3609.99
33.945,7493,3609.99
34.045,7493,3715.28
34.145,7493,3810.54
34.245,7308.74,3860.03
34.345,7308.74,3810.54
34.445,7133.33,3762.31
34.545,7133.33,3762.31
34.645,7133.33,3762.31
34.745,7133.33,3762.31
34.845,6966.15,3762.31
34.945,6966.15,3860.03
35.045,7133.33,3715.28
35.145,7133.33,3715.28
35.245,7133.33,3715.28
35.345,7133.33,3762.31
35.445,7133.33,3810.54
35.545,7133.33,3762.31
35.645,7133.33,3860.03
35.745,7133.33,3860.03
35.845,7133.33,3810.54
35.945,7133.33,3762.31
36.045,7133.33,3762.31
36.145,7133.33,3762.31
36.245,7133.33,3810.54
36.345,7493,3860.03
36.445,7493,3860.03
36.545,7493,3810.54
36.645,7493,3810.54
36.745,7493,3810.54
36.845,7308.74,3762.31
36.945,7308.74,3762.31
37.045,7133.33,3762.31
37.145,7133.33,3715.28
37.245,7133.33,3715.28
37.345,6966.15,3715.28
37.445,6966.15,3715.28
37.545,6966.15,3715.28
37.645,6966.15,3609.99
37.745,6966.15,3524.37
37.845,6966.15,3524.37
37.945,7133.33,3524.37
38.045,7133.33,3403.31
38.145,7133.33,3327.11
38.245,7133.33,3278.19
38.345,7133.33,3242.42
38.445,6966.15,3207.43
38.545,6966.15,3327.11
38.645,6966.15,3364.78
38.745,6966.15,3403.31
38.845,6966.15,3403.31
38.945,6966.15,3403.31
39.045,6966.15,3403.31
39.145,6966.15,3524.37
39.245,6966.15,3654.37
39.345,6966.15,3762.31
39.445,6966.15,3762.31
39.545,7133.33,3810.54
39.645,7308.74,3810.54
39.745,7308.74,3810.54
39.845,7308.74,3810.54
39.945,7308.74,3715.28
40.045,7308.74,3762.31
40.145,7493,3810.54
40.245,7493,3860.03
40.345,7493,3910.82
40.445,7493,3910.82
40.545,7493,3962.96
40.645,7493,3962.96
40.745,7493,3962.96
40.845,7308.74,3962.96
40.945,7308.74,3910.82
41.045,7308.74,3810.54
41.145,7308.74,3762.31
41.245,7308.74,3810.54
41.345,7133.33,3762.31
41.445,6966.15,3715.28
41.545,6966.15,3654.37
41.645,6966.15,3609.99
41.745,6966.15,3566.67
41.845,6966.15,3609.99
41.945,6966.15,3762.31
42.045,6966.15,3762.31
42.145,6966.15,3810.54
42.245,6966.15,3810.54
42.345,6966.15,3762.31
42.445,7133.33,3654.37
42.545,7133.33,3524.37
42.645,7133.33,3483.07
42.745,7308.74,3364.78
42.845,7308.74,3364.78
42.945,7308.74,3364.78
43.045,7308.74,3403.31
43.145,7493,3442.73
43.245,7493,3483.07
43.345,7493,3524.37
43.445,7493,3566.67
43.545,7686.78,3609.99
43.645,7686.78,3609.99
43.745,7686.78,3609.99
43.845,7686.78,3609.99
43.945,7493,3715.28
44.045,7493,3810.54
44.145,7493,3860.03
44.245,7493,3910.82
44.345,7493,3860.03
44.445,7308.74,3860.03
44.545,7308.74,3762.31
44.645,7308.74,3810.54
44.745,7308.74,3810.54
44.845,7308.74,3860.03
44.945,7308.74,3860.03
45.045,7308.74,3910.82
45.145,7308.74,3910.82
45.245,7308.74,3910.82
45.345,7308.74,3910.82
45.445,7133.33,3910.82
45.545,7133.33,3860.03
45.645,7133.33,3860.03
45.745,7133.33,3860.03
45.845,7133.33,3860.03
45.945,7133.33,3860.03
46.045,7133.33,3910.82
46.145,7133.33,3910.82
46.245,7133.33,3910.82
46.345,7133.33,3910.82
46.445,6966.15,3910.82
46.545,6966.15,3860.03
46.645,6966.15,3810.54
46.745,6966.15,3962.96
46.845,6966.15,3910.82
46.945,6966.15,3910.82
47.045,6966.15,3860.03
47.145,6966.15,3860.03
47.245,6966.15,3860.03
47.345,6966.15,3860.03
47.445,6966.15,3860.03
47.545,6966.15,3860.03
47.645,6966.15,3810.54
47.745,6966.15,3860.03
47.845,6966.15,3810.54
47.945,7133.33,3762.31
48.045,7133.33,3715.28
48.145,7133.33,3810.54
48.245,7308.74,3810.54
48.345,7308.74,3910.82
48.445,7308.74,3910.82
48.545,7493,3860.03
48.645,7493,3860.03
48.745,7686.78,3860.03
48.845,7686.78,3860.03
48.945,7890.86,3762.31
49.045,7890.86,3762.31
49.145,7890.86,3810.54
49.245,7890.86,3762.31
49.345,7890.86,3762.31
49.445,7686.78,3762.31
49.545,7686.78,3715.28
49.645,7686.78,3715.28
49.745,7686.78,3762.31
49.845,7493,3715.28
49.945,7493,3715.28
50.045,7308.74,3609.99
50.145,7308.74,3566.67
50.245,7133.33,3566.67
50.345,6966.15,3609.99
50.445,6966.15,3715.28
50.545,6966.15,3715.28
50.645,6966.15,3715.28
50.745,6806.62,3715.28
50.845,6806.62,3715.28
50.945,6806.62,3715.28
51.045,6806.62,3715.28
51.145,6806.62,3715.28
51.245,6806.62,3715.28
51.345,6806.62,3715.28
51.445,6806.62,3762.31
51.545,6806.62,3860.03
51.645,6806.62,3860.03
51.745,6806.62,3810.54
51.845,6806.62,3810.54
51.945,6604.94,3860.03
52.045,6604.94,3910.82
52.145,6604.94,3910.82
52.245,6604.94,3910.82
52.345,6604.94,3910.82
52.445,6604.94,3910.82
52.545,6604.94,3910.82
52.645,6604.94,3860.03
52.745,6604.94,3860.03
52.845,6604.94,3810.54
52.945,6604.94,3715.28
53.045,6604.94,3654.37
53.145,6604.94,3524.37
53.245,6604.94,3524.37
53.345,6604.94,3442.73
53.445,6604.94,3278.19
53.545,6604.94,3278.19
53.645,6604.94,3278.19
53.745,6604.94,3483.07
53.845,6323.88,3524.37
53.945,6065.76,3524.37
54.045,6065.76,3609.99
54.145,6192.13,3609.99
54.245,6192.13,3654.37
54.345,-999,-999
54.445,-999,-999
54.545,-999,-999
54.645,-999,-999
54.745,-999,-999
54.845,-999,-999
54.945,-999,-999
55.045,-999,-999
55.145,-999,-999
